S.No.,Leaf_Length(Cm),Leaf_Width(Cm),PlantName
1,2.3,1.7,HolyBasil
2,2.1,1,HolyBasil
3,2.1,0.9,HolyBasil
4,2.2,1.1,HolyBasil
5,2.1,1,HolyBasil
6,2.3,1.1,HolyBasil
7,2.5,1.4,HolyBasil
8,2.4,1.4,HolyBasil
9,2.9,1.5,HolyBasil
10,2.9,1.3,HolyBasil
11,2.5,1.2,HolyBasil
12,2.4,1.3,HolyBasil
13,2.1,1.2,HolyBasil
14,2.1,1.1,HolyBasil
15,2.4,1.2,HolyBasil
16,2.5,1.5,HolyBasil
17,2.5,1.6,HolyBasil
18,2.4,1,HolyBasil
19,2.2,1.2,HolyBasil
20,2,1,HolyBasil
21,2,1.1,HolyBasil
22,2.2,1.1,HolyBasil
23,2.3,1.2,HolyBasil
24,2.1,1,HolyBasil
25,2.9,1.6,HolyBasil
26,2.5,1.3,HolyBasil
27,2,1,HolyBasil
28,2.1,1,HolyBasil
29,2.2,0.9,HolyBasil
30,2,0.9,HolyBasil
31,9.4,5.4,GoldenPothos
32,8.6,6.4,GoldenPothos
33,9.2,5.6,GoldenPothos
34,8.9,5.5,GoldenPothos
35,8,5.8,GoldenPothos
36,14,8.7,GoldenPothos
37,12.5,8,GoldenPothos
38,13.6,8.1,GoldenPothos
39,10,6.1,GoldenPothos
40,9.2,5.4,GoldenPothos
41,9.1,5.4,GoldenPothos
42,7.6,5.3,GoldenPothos
43,9.8,6.4,GoldenPothos
44,11,5.7,GoldenPothos
45,8.3,4.8,GoldenPothos
46,8.5,5.6,GoldenPothos
47,7.8,5,GoldenPothos
48,10.2,6.4,GoldenPothos
49,11.1,7.6,GoldenPothos
50,10.5,6.3,GoldenPothos
51,11.4,7.5,GoldenPothos
52,11.7,7,GoldenPothos
53,12.5,7,GoldenPothos
54,8,4.9,GoldenPothos
55,7.4,5,GoldenPothos
56,9.3,5.1,GoldenPothos
57,8.6,4.9,GoldenPothos
58,7.8,4.8,GoldenPothos
59,11.5,7.1,GoldenPothos
60,12.7,7.9,GoldenPothos
61,4.7,1.8,DwarfUmbrellaTree
62,4.6,1.7,DwarfUmbrellaTree
63,4.2,1.7,DwarfUmbrellaTree
64,4.1,1.6,DwarfUmbrellaTree
65,5.1,2,DwarfUmbrellaTree
66,4.8,1.9,DwarfUmbrellaTree
67,5.5,2,DwarfUmbrellaTree
68,4.9,2,DwarfUmbrellaTree
69,4.8,1.9,DwarfUmbrellaTree
70,5.4,1.9,DwarfUmbrellaTree
71,5.1,1.9,DwarfUmbrellaTree
72,4.7,1.7,DwarfUmbrellaTree
73,4,1.6,DwarfUmbrellaTree
74,4.7,1.9,DwarfUmbrellaTree
75,4.3,1.5,DwarfUmbrellaTree
76,5.2,1.8,DwarfUmbrellaTree
77,5.5,2,DwarfUmbrellaTree
78,5.3,1.9,DwarfUmbrellaTree
79,3.6,1.4,DwarfUmbrellaTree
80,4,1.4,DwarfUmbrellaTree
81,4.2,1.6,DwarfUmbrellaTree
82,4.1,1.7,DwarfUmbrellaTree
83,4,1.7,DwarfUmbrellaTree
84,4.6,1.9,DwarfUmbrellaTree
85,5,2,DwarfUmbrellaTree
86,5.3,1.9,DwarfUmbrellaTree
87,3.9,1.6,DwarfUmbrellaTree
88,3.6,1.5,DwarfUmbrellaTree
89,3.5,1.3,DwarfUmbrellaTree
90,4.7,1.8,DwarfUmbrellaTree
